% Service logfile
% 1 	Time (sec)
% 2 	Message
1738769069.1018 Setup finished OK=1
1738769199.8490 Log command: robobot/cmd/ti/log 1
1738769201.2837 Log command: robobot/cmd/ti/log 0
1738769211.4091 Log command: robobot/cmd/ti/log 1
1738769212.4896 new Master: (0) 2025-02-05 16:26:51.405734
1738769226.1227 Log command: robobot/cmd/ti/log 0
1738769071.5877 Lost Master, alive since 2025-02-05 16:26:51.405734
1738769250.7091 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7089787
1738769250.7192 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7189715
1738769250.7290 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.728849
1738769250.7388 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7386591
1738769250.7495 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7491674
1738769250.7593 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7591734
1738769250.7689 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7688448
1738769250.7791 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7789013
1738769250.7889 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.7888026
1738769250.7987 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.798613
1738769250.8098 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8096511
1738769250.8196 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8195472
1738769250.8296 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8294516
1738769250.8394 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8392208
1738769250.8491 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8490503
1738769250.8590 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8588257
1738769250.8698 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.86965
1738769250.8795 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8794432
1738769250.8895 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8893769
1738769250.8992 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.8991563
1738769250.9090 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.9089885
1738769250.9190 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.9189088
1738769250.9288 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.9286904
1738769250.9400 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.9398193
1738769250.9501 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1738769250.9498773
1738769250.9589 Mixer order: robobot/cmd/ti/rc 0.250 0.967 1738769250.958775
1738769250.9696 Mixer order: robobot/cmd/ti/rc 0.250 0.922 1738769250.9695563
1738769250.9796 Mixer order: robobot/cmd/ti/rc 0.250 0.842 1738769250.9794872
1738769250.9894 Mixer order: robobot/cmd/ti/rc 0.250 0.755 1738769250.9892507
1738769250.9990 Mixer order: robobot/cmd/ti/rc 0.250 0.623 1738769250.9989371
1738769251.0090 Mixer order: robobot/cmd/ti/rc 0.250 0.484 1738769251.0089114
1738769251.0188 Mixer order: robobot/cmd/ti/rc 0.250 0.336 1738769251.0187275
1738769251.0299 Mixer order: robobot/cmd/ti/rc 0.250 0.168 1738769251.029785
1738769251.0398 Mixer order: robobot/cmd/ti/rc 0.250 -0.028 1738769251.039671
1738769251.0494 Mixer order: robobot/cmd/ti/rc 0.250 -0.220 1738769251.0493624
1738769251.0594 Mixer order: robobot/cmd/ti/rc 0.250 -0.417 1738769251.0592582
1738769251.0692 Mixer order: robobot/cmd/ti/rc 0.250 -0.620 1738769251.0690918
1738769251.0789 Mixer order: robobot/cmd/ti/rc 0.250 -0.814 1738769251.078818
1738769251.0899 Mixer order: robobot/cmd/ti/rc 0.250 -0.987 1738769251.0898402
1738769251.0995 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.0994387
1738769251.1096 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1094663
1738769251.1194 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1193202
1738769251.1291 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1290553
1738769251.1394 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1392372
1738769251.1499 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1497324
1738769251.1596 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.159539
1738769251.1699 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1696215
1738769251.1794 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1793702
1738769251.1893 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.1891973
1738769251.1999 Mixer order: robobot/cmd/ti/rc 0.250 -0.997 1738769251.1997464
1738769251.2097 Mixer order: robobot/cmd/ti/rc 0.250 -0.996 1738769251.2096293
1738769251.2197 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1738769251.2194774
1738769251.2296 Mixer order: robobot/cmd/ti/rc 0.250 -0.935 1738769251.2294085
1738769251.2393 Mixer order: robobot/cmd/ti/rc 0.250 -0.875 1738769251.2392042
1738769251.2492 Mixer order: robobot/cmd/ti/rc 0.250 -0.819 1738769251.2490165
1738769251.2599 Mixer order: robobot/cmd/ti/rc 0.250 -0.766 1738769251.259815
1738769251.2697 Mixer order: robobot/cmd/ti/rc 0.250 -0.716 1738769251.2696254
1738769251.2797 Mixer order: robobot/cmd/ti/rc 0.250 -0.670 1738769251.279536
1738769251.2895 Mixer order: robobot/cmd/ti/rc 0.250 -0.627 1738769251.2894404
1738769251.2992 Mixer order: robobot/cmd/ti/rc 0.250 -0.586 1738769251.2991378
1738769251.3091 Mixer order: robobot/cmd/ti/rc 0.250 -0.548 1738769251.3089345
1738769251.3200 Mixer order: robobot/cmd/ti/rc 0.250 -0.513 1738769251.3198016
1738769251.3298 Mixer order: robobot/cmd/ti/rc 0.250 -0.480 1738769251.3297133
1738769251.3396 Mixer order: robobot/cmd/ti/rc 0.250 -0.449 1738769251.339536
1738769251.3499 Mixer order: robobot/cmd/ti/rc 0.250 -0.420 1738769251.3497512
1738769251.3594 Mixer order: robobot/cmd/ti/rc 0.250 -0.393 1738769251.3591447
1738769251.3692 Mixer order: robobot/cmd/ti/rc 0.250 -0.367 1738769251.3689883
1738769251.3789 Mixer order: robobot/cmd/ti/rc 0.250 -0.344 1738769251.3787663
1738769251.3892 Mixer order: robobot/cmd/ti/rc 0.250 -0.322 1738769251.389116
1738769251.3997 Mixer order: robobot/cmd/ti/rc 0.250 -0.301 1738769251.3996139
1738769251.4097 Mixer order: robobot/cmd/ti/rc 0.250 -0.281 1738769251.4096158
1738769251.4195 Mixer order: robobot/cmd/ti/rc 0.250 -0.263 1738769251.4193738
1738769251.4293 Mixer order: robobot/cmd/ti/rc 0.250 -0.246 1738769251.4290376
1738769251.4392 Mixer order: robobot/cmd/ti/rc 0.250 -0.230 1738769251.439115
1738769251.4491 Mixer order: robobot/cmd/ti/rc 0.250 -0.215 1738769251.4490557
1738769251.4589 Mixer order: robobot/cmd/ti/rc 0.250 -0.202 1738769251.4587784
1738769251.4690 Mixer order: robobot/cmd/ti/rc 0.250 -0.189 1738769251.4688153
1738769251.4799 Mixer order: robobot/cmd/ti/rc 0.250 -0.176 1738769251.4797838
1738769251.4899 Mixer order: robobot/cmd/ti/rc 0.250 -0.165 1738769251.4897172
