% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1738155042.4051 0.000 0.000 0.0000 3.1051
1738155042.4073 0.000 0.000 0.0000 3.1051
1738155042.4085 0.000 0.000 0.0000 3.1051
1738155042.4107 0.000 0.000 0.0000 3.1051
1738155042.4129 0.000 0.000 0.0000 3.1051
1738155042.4151 0.000 0.000 0.0000 3.1051
1738155042.4173 0.000 0.000 0.0000 3.1051
1738155042.4185 0.000 0.000 0.0000 3.1051
1738155042.4207 0.000 0.000 0.0000 3.1051
1738155042.4229 0.000 0.000 0.0000 3.1051
1738155042.4250 0.000 0.000 0.0000 3.1051
1738155042.4273 0.000 0.000 0.0000 3.1051
1738155042.4285 0.000 0.000 0.0000 3.1051
1738155042.4307 0.000 0.000 0.0000 3.1051
1738155042.4329 0.000 0.000 0.0000 3.1051
1738155042.4351 0.000 0.000 0.0000 3.1051
1738155042.4373 0.000 0.000 0.0000 3.1051
1738155042.4395 0.000 0.000 0.0000 3.1051
1738155042.4407 0.000 0.000 0.0000 3.1051
1738155042.4429 0.000 0.000 0.0000 3.1051
1738155042.4451 0.000 0.000 0.0000 3.1051
1738155042.4473 0.000 0.000 0.0000 3.1051
1738155042.4495 0.000 0.000 0.0000 3.1051
1738155042.4507 0.000 0.000 0.0000 3.1051
1738155042.4529 0.000 0.000 0.0000 3.1051
1738155042.4551 0.000 0.000 0.0000 3.1051
1738155042.4574 0.000 0.000 0.0000 3.1051
1738155042.4595 0.000 0.000 0.0000 3.1051
1738155042.4607 0.000 0.000 0.0000 3.1051
1738155042.4629 0.000 0.000 0.0000 3.1051
1738155042.4651 0.000 0.000 0.0000 3.1051
1738155042.4673 0.000 0.000 0.0000 3.1051
1738155042.4695 0.000 0.000 0.0000 3.1051
1738155042.4708 0.000 0.000 0.0000 3.1051
1738155042.4729 0.000 0.000 0.0000 3.1051
1738155042.4751 0.000 0.000 0.0000 3.1051
1738155042.4773 0.000 0.000 0.0000 3.1051
1738155042.4796 0.000 0.000 0.0000 3.1051
1738155042.4807 0.000 0.000 0.0000 3.1051
1738155042.4829 0.000 0.000 0.0000 3.1051
1738155042.4851 0.000 0.000 0.0000 3.1051
1738155042.4874 0.000 0.000 0.0000 3.1050
1738155042.4896 0.000 0.000 0.0000 3.1051
1738155042.4907 0.000 0.000 0.0000 3.1051
1738155042.4930 0.000 0.000 0.0000 3.1051
1738155042.4951 0.000 0.000 0.0000 3.1051
1738155042.4973 0.000 0.000 0.0000 3.1050
1738155042.4995 0.000 0.000 0.0000 3.1051
1738155042.5008 0.000 0.000 0.0000 3.1051
1738155042.5030 0.000 0.000 0.0000 3.1051
1738155042.5051 0.000 0.000 0.0000 3.1051
1738155042.5074 0.000 0.000 0.0000 3.1051
1738155042.5095 0.000 0.000 0.0000 3.1051
1738155042.5107 0.000 0.000 0.0000 3.1051
1738155042.5130 0.000 0.000 0.0000 3.1051
1738155042.5151 0.000 0.000 0.0000 3.1051
1738155042.5174 0.000 0.000 0.0000 3.1050
1738155042.5196 0.000 0.000 0.0000 3.1050
1738155042.5208 0.000 0.000 0.0000 3.1050
1738155042.5229 0.000 0.000 0.0000 3.1050
1738155042.5251 0.000 0.000 0.0000 3.1050
1738155042.5274 0.000 0.000 0.0000 3.1050
1738155042.5296 0.000 0.000 0.0000 3.1050
1738155042.5308 0.000 0.000 0.0000 3.1050
1738155042.5329 0.000 0.000 0.0000 3.1051
1738155042.5351 0.000 0.000 0.0000 3.1051
1738155042.5374 0.000 0.000 0.0000 3.1051
1738155042.5396 0.000 0.000 0.0000 3.1051
1738155042.5408 0.000 0.000 0.0000 3.1051
1738155042.5430 0.000 0.000 0.0000 3.1051
1738155042.5451 0.000 0.000 0.0000 3.1051
1738155042.5474 0.000 0.000 0.0000 3.1050
1738155042.5496 0.000 0.000 0.0000 3.1051
1738155042.5508 0.000 0.000 0.0000 3.1051
1738155042.5530 0.000 0.000 0.0000 3.1051
1738155042.5552 0.000 0.000 0.0000 3.1051
1738155042.5574 0.000 0.000 0.0000 3.1051
1738155042.5596 0.000 0.000 0.0000 3.1051
1738155042.5608 0.000 0.000 0.0000 3.1051
1738155042.5631 0.000 0.000 0.0000 3.1051
1738155042.5652 0.000 0.000 0.0000 3.1051
1738155042.5674 0.000 0.000 0.0000 3.1051
1738155042.5697 0.000 0.000 0.0000 3.1051
1738155042.5708 0.000 0.000 0.0000 3.1051
1738155042.5730 0.000 0.000 0.0000 3.1051
1738155042.5752 0.000 0.000 0.0000 3.1051
1738155042.5775 0.000 0.000 0.0000 3.1051
1738155042.5797 0.000 0.000 0.0000 3.1051
1738155042.5808 0.000 0.000 0.0000 3.1051
1738155042.5831 0.000 0.000 0.0000 3.1051
1738155042.5852 0.000 0.000 0.0000 3.1051
1738155042.5874 0.000 0.000 0.0000 3.1051
1738155042.5896 0.000 0.000 0.0000 3.1051
1738155042.5909 0.000 0.000 0.0000 3.1050
1738155042.5931 0.000 0.000 0.0000 3.1051
1738155042.5952 0.000 0.000 0.0000 3.1051
1738155042.5975 0.000 0.000 0.0000 3.1051
1738155042.5997 0.000 0.000 0.0000 3.1051
1738155042.6008 0.000 0.000 0.0000 3.1051
1738155042.6030 0.000 0.000 0.0000 3.1051
1738155042.6052 0.000 0.000 0.0000 3.1051
1738155042.6075 0.000 0.000 0.0000 3.1051
1738155042.6097 0.000 0.000 0.0000 3.1051
1738155042.6109 0.000 0.000 0.0000 3.1051
1738155042.6131 0.000 0.000 0.0000 3.1051
1738155042.6152 0.000 0.000 0.0000 3.1051
1738155042.6174 0.000 0.000 0.0000 3.1051
1738155042.6197 0.000 0.000 0.0000 3.1051
1738155042.6209 0.000 0.000 0.0000 3.1051
1738155042.6231 0.000 0.000 0.0000 3.1051
1738155042.6253 0.000 0.000 0.0000 3.1051
1738155042.6275 0.000 0.000 0.0000 3.1051
1738155042.6297 0.000 0.000 0.0000 3.1051
1738155042.6308 0.000 0.000 0.0000 3.1051
1738155042.6331 0.000 0.000 0.0000 3.1051
1738155042.6352 0.000 0.000 0.0000 3.1051
1738155042.6375 0.000 0.000 0.0000 3.1051
1738155042.6397 0.000 0.000 0.0000 3.1051
1738155042.6409 0.000 0.000 0.0000 3.1051
1738155042.6431 0.000 0.000 0.0000 3.1051
1738155042.6452 0.000 0.000 0.0000 3.1051
1738155042.6475 0.000 0.000 0.0000 3.1051
1738155042.6497 0.000 0.000 0.0000 3.1051
1738155042.6509 0.000 0.000 0.0000 3.1051
1738155042.6531 0.000 0.000 0.0000 3.1051
1738155042.6553 0.000 0.000 0.0000 3.1051
1738155042.6575 0.000 0.000 0.0000 3.1051
1738155042.6597 0.000 0.000 0.0000 3.1051
1738155042.6609 0.000 0.000 0.0000 3.1051
1738155042.6631 0.000 0.000 0.0000 3.1051
1738155042.6652 0.000 0.000 0.0000 3.1051
1738155042.6675 0.000 0.000 0.0000 3.1051
1738155042.6697 0.000 0.000 0.0000 3.1051
1738155042.6709 0.000 0.000 0.0000 3.1051
1738155042.6731 0.000 0.000 0.0000 3.1051
1738155042.6753 0.000 0.000 0.0000 3.1051
1738155042.6775 0.000 0.000 0.0000 3.1051
1738155042.6797 0.000 0.000 0.0000 3.1051
1738155042.6809 0.000 0.000 0.0000 3.1051
1738155042.6831 0.000 0.000 0.0000 3.1051
1738155042.6853 0.000 0.000 0.0000 3.1051
1738155042.6875 0.000 0.000 0.0000 3.1051
1738155042.6897 0.000 0.000 0.0000 3.1051
1738155042.6909 0.000 0.000 0.0000 3.1051
1738155042.6931 0.000 0.000 0.0000 3.1051
1738155042.6953 0.000 0.000 0.0000 3.1051
1738155042.6975 0.000 0.000 0.0000 3.1051
1738155042.6997 0.000 0.000 0.0000 3.1051
1738155042.7009 0.000 0.000 0.0000 3.1051
1738155042.7031 0.000 0.000 0.0000 3.1051
1738155042.7053 0.000 0.000 0.0000 3.1051
1738155042.7075 0.000 0.000 0.0000 3.1051
1738155042.7097 0.000 0.000 0.0000 3.1051
1738155042.7109 0.000 0.000 0.0000 3.1051
1738155042.7131 0.000 0.000 0.0000 3.1051
1738155042.7153 0.000 0.000 0.0000 3.1051
1738155042.7175 0.000 0.000 0.0000 3.1051
1738155042.7197 0.000 0.000 0.0000 3.1051
1738155042.7209 0.000 0.000 0.0000 3.1051
1738155042.7231 0.000 0.000 0.0000 3.1051
1738155042.7253 0.000 0.000 0.0000 3.1051
1738155042.7275 0.000 0.000 0.0000 3.1051
1738155042.7297 0.000 0.000 0.0000 3.1051
1738155042.7309 0.000 0.000 0.0000 3.1050
1738155042.7331 0.000 0.000 0.0000 3.1050
1738155042.7353 0.000 0.000 0.0000 3.1050
1738155042.7375 0.000 0.000 0.0000 3.1050
1738155042.7397 0.000 0.000 0.0000 3.1050
1738155042.7409 0.000 0.000 0.0000 3.1050
1738155042.7431 0.000 0.000 0.0000 3.1050
1738155042.7453 0.000 0.000 0.0000 3.1050
1738155042.7475 0.000 0.000 0.0000 3.1050
1738155042.7497 0.000 0.000 0.0000 3.1050
1738155042.7520 0.000 0.000 0.0000 3.1050
1738155042.7531 0.000 0.000 0.0000 3.1050
1738155042.7553 0.000 0.000 0.0000 3.1050
1738155042.7575 0.000 0.000 0.0000 3.1050
1738155042.7597 0.000 0.000 0.0000 3.1050
1738155042.7620 0.000 0.000 0.0000 3.1050
