% Service logfile
% 1 	Time (sec)
% 2 	Message
1740753059.0092 Setup finished OK=1
1740756543.7146 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7144885
1740756543.7256 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7253783
1740756543.7354 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7351756
1740756543.7449 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7448068
1740756543.7550 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7548182
1740756543.7648 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7646332
1740756543.7754 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.775378
1740756543.7854 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7852368
1740756543.7952 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.7950542
1740756543.8047 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.8046238
1740756543.8146 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.814519
1740756543.8254 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.8253074
1740756543.8365 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.836099
1740756543.8460 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.8454528
1740756543.8554 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.8552663
1740756543.8654 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.8652704
1740756543.8748 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.8745928
1740756543.8855 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.8853264
1740756543.8951 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.894993
1740756543.9050 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9048893
1740756543.9147 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9146175
1740756543.9253 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9251924
1740756543.9275 new Master: (0) 2025-02-28 16:29:02.818042
1740756543.9350 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9348538
1740756543.9446 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9445243
1740756543.9560 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9557474
1740756543.9655 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9654143
1740756543.9752 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9750865
1740756543.9851 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9849691
1740756543.9948 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756543.9946883
1740756544.0047 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.004595
1740756544.0147 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.0144458
1740756544.0253 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.025268
1740756544.0368 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.036012
1740756544.0457 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.0454159
1740756544.0551 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.0549183
1740756544.0649 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.0647237
1740756544.0752 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.0747693
1740756544.0847 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.084678
1740756544.0960 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.0956986
1740756544.1056 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.1054318
1740756544.1153 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.115196
1740756544.1255 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.1251872
1740756544.1351 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.1349602
1740756544.1448 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.1447866
1740756544.1548 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.1546981
1740756544.1646 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.164448
1740756544.1758 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.175495
1740756544.1852 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.185058
1740756544.1950 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.1948144
1740756544.2050 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2047503
1740756544.2146 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2144089
1740756544.2254 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2253115
1740756544.2357 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2353306
1740756544.2457 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2455676
1740756544.2555 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2554154
1740756544.2655 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2652586
1740756544.2752 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2750604
1740756544.2850 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.284811
1740756544.2949 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.2946908
1740756544.3056 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.3055446
1740756544.3157 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.3155096
1740756544.3254 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.3252182
1740756544.3349 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.3347783
1740756544.3449 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.344731
1740756544.3546 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.3545208
1740756544.3654 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.365257
1740756544.3756 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.3754761
1740756544.3853 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.3852155
1740756544.3954 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.395225
1740756544.4052 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.4050276
1740756544.4148 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.4146717
1740756544.4248 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.4246387
1740756544.4360 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.4358668
1740756544.4448 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.444666
1740756544.4546 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.454494
1740756544.4655 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.465412
1740756544.4754 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.4752798
1740756544.4851 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.4849398
1740756544.4948 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.4947038
1740756544.5048 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5046477
1740756544.5155 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.51536
1740756544.5252 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5250916
1740756544.5352 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5350466
1740756544.5450 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5448825
1740756544.5546 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5545378
1740756544.5656 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5654933
1740756544.5753 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5751853
1740756544.5854 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5852199
1740756544.5950 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.5948246
1740756544.6056 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.60553
1740756544.6157 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6154668
1740756544.6254 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.625226
1740756544.6359 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6351218
1740756544.6465 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6462853
1740756544.6555 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6553175
1740756544.6651 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6649551
1740756544.6751 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6749218
1740756544.6847 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6846683
1740756544.6957 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.6955066
1740756544.7056 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.705422
1740756544.7152 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.71517
1740756544.7252 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.7250645
1740756544.7349 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.734781
1740756544.7456 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.745525
1740756544.7557 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.7554414
1740756544.7652 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.765117
1740756544.7749 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.774814
1740756544.7849 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.7846959
1740756544.7956 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.7955432
1740756544.8056 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.8055046
1740756544.8152 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.8151393
1740756544.8251 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.8249493
1740756544.8358 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.835134
1740756544.8469 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.8463354
1740756544.8547 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.8545363
1740756544.8659 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.8656166
1740756544.8755 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.875268
1740756544.8854 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.885262
1740756544.8953 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.895152
1740756544.9051 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9049811
1740756544.9148 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9147828
1740756544.9248 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9246392
1740756544.9355 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9353502
1740756544.9455 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9453304
1740756544.9552 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9550374
1740756544.9648 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9646802
1740756544.9758 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9756746
1740756544.9855 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9854531
1740756544.9952 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756544.9950802
1740756545.0052 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.0050254
1740756545.0149 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.014777
1740756545.0260 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.0257356
1740756545.0353 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.0350935
1740756545.0458 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.0456896
1740756545.0560 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.05585
1740756545.0656 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.0654962
1740756545.0755 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.075405
1740756545.0857 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.0855618
1740756545.0954 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.095327
1740756545.1051 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.1050706
1740756545.1152 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.1150713
1740756545.1250 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.1248384
1740756545.1348 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.1346934
1740756545.1447 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.1446104
1740756545.1556 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.15555
1740756545.1657 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.1654372
1740756545.1752 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.1750703
1740756545.1850 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.184862
1740756545.1950 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.194811
1740756545.2057 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.2056081
1740756545.2155 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.2153492
1740756545.2253 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.2251732
1740756545.2355 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.2351866
1740756545.2461 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.245895
1740756545.2557 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.255593
1740756545.2653 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.2652557
1740756545.2755 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.275337
1740756545.2852 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.2850804
1740756545.2950 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.2947893
1740756545.3050 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3048496
1740756545.3158 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3156524
1740756545.3255 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.325418
1740756545.3354 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3352873
1740756545.3451 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3450012
1740756545.3551 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3548849
1740756545.3658 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3656597
1740756545.3755 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3754528
1740756545.3854 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.3852375
1740756545.3951 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.395038
1740756545.4049 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.404844
1740756545.4159 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4157622
1740756545.4258 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4257336
1740756545.4366 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4363446
1740756545.4470 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4466684
