% Service logfile
% 1 	Time (sec)
% 2 	Message
1738769298.8982 Setup finished OK=1
1738938189.3093 Log command: robobot/cmd/ti/log 1
1738938190.6861 new Master: (0) 2025-02-07 15:23:09.304214
1738938240.6426 Mixer order: robobot/cmd/ti/rc 0.250 -0.005 1738938240.6424394
1738938240.6522 Mixer order: robobot/cmd/ti/rc 0.250 -0.006 1738938240.652108
1738938240.6625 Mixer order: robobot/cmd/ti/rc 0.250 0.124 1738938240.6623023
1738938240.6720 Mixer order: robobot/cmd/ti/rc 0.250 0.116 1738938240.6719022
1738938240.6817 Mixer order: robobot/cmd/ti/rc 0.250 0.109 1738938240.681652
1738938240.6917 Mixer order: robobot/cmd/ti/rc 0.250 0.102 1738938240.6915762
1738938240.7024 Mixer order: robobot/cmd/ti/rc 0.250 0.095 1738938240.7023664
1738938240.7122 Mixer order: robobot/cmd/ti/rc 0.250 0.089 1738938240.7121491
1738938240.7222 Mixer order: robobot/cmd/ti/rc 0.250 0.083 1738938240.7219658
1738938240.7318 Mixer order: robobot/cmd/ti/rc 0.250 0.078 1738938240.7316961
1738938240.7420 Mixer order: robobot/cmd/ti/rc 0.250 0.073 1738938240.7417638
1738938240.7525 Mixer order: robobot/cmd/ti/rc 0.250 0.068 1738938240.7523391
1738938240.7621 Mixer order: robobot/cmd/ti/rc 0.250 0.064 1738938240.7620704
1738938240.7721 Mixer order: robobot/cmd/ti/rc 0.250 0.060 1738938240.7719631
1738938240.7819 Mixer order: robobot/cmd/ti/rc 0.250 0.056 1738938240.781814
1738938240.7918 Mixer order: robobot/cmd/ti/rc 0.250 0.052 1738938240.791701
1738938240.8020 Mixer order: robobot/cmd/ti/rc 0.250 0.049 1738938240.801802
1738938240.8118 Mixer order: robobot/cmd/ti/rc 0.250 0.046 1738938240.8116348
1738938240.8218 Mixer order: robobot/cmd/ti/rc 0.250 0.043 1738938240.8216476
1738938240.8322 Mixer order: robobot/cmd/ti/rc 0.250 0.040 1738938240.8318758
1738938240.8418 Mixer order: robobot/cmd/ti/rc 0.250 0.037 1738938240.8417099
1738938240.8522 Mixer order: robobot/cmd/ti/rc 0.250 0.035 1738938240.8520007
1738938240.8621 Mixer order: robobot/cmd/ti/rc 0.250 0.033 1738938240.8619628
1738938240.8674 Mixer order: robobot/cmd/ti/rc 0.1 0.5
1738938243.8816 Mixer order: robobot/cmd/ti/rc 0 0
1738938244.0835 Mixer order: robobot/cmd/ti/rc 0 0
1738938244.1539 Log command: robobot/cmd/ti/log 0
1738769301.6827 Lost Master, alive since 2025-02-07 15:23:09.304214
1738940010.4149 Got power off from (teensy 1) Teensy (battery)
1738940010.4151 Shutdown: robobot/cmd/shutdown 1738940010.4149 Teensy (battery)
1738940013.3200 All terminated; closing logfile
