% Service logfile
% 1 	Time (sec)
% 2 	Message
1740133120.9065 Setup finished OK=1
1740133742.7732 Log command: robobot/cmd/ti/log 1
1740133743.4004 Mixer order: robobot/cmd/ti/rc 0.0 0.0
1740133743.4023 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4021716
1740133743.4120 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4119341
1740133743.4222 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4220564
1740133743.4329 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4328797
1740133743.4431 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4429507
1740133743.4530 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4528663
1740133743.4627 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4625878
1740133743.4727 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4726117
1740133743.4826 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.482526
1740133743.4930 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.4923024
1740133743.5029 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.5027528
1740133743.5135 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.5133255
1740133743.5227 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.5225728
1740133743.5324 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.532351
1740133743.5422 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.542141
1740133743.5523 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.5521562
1740133743.5629 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.5628657
1740133743.5729 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.5727515
1740133743.5827 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.582623
1740133743.5924 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.592335
1740133743.6024 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.6023536
1740133743.6123 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.6121905
1740133743.6220 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.621909
1740133743.6330 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.6328528
1740133743.6427 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.6425612
1740133743.6525 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.6523945
1740133743.6625 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.662346
1740133743.6721 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.6720822
1740133743.6831 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.6829526
1740133743.6929 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.692772
1740133743.7028 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740133743.7026763
1740133743.7150 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.713901
1740133743.7228 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7226326
1740133743.7334 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7330785
1740133743.7439 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7437248
1740133743.7528 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7527132
1740133743.7626 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7625625
1740133743.7726 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7724602
1740133743.7822 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7821634
1740133743.7932 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.7930696
1740133743.8028 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8026032
1740133743.8125 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.812427
1740133743.8226 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8224669
1740133743.8321 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8320112
1740133743.8428 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8427866
1740133743.8528 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8527384
1740133743.8624 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8623602
1740133743.8630 new Master: (0) 2025-02-21 11:29:02.769003
1740133743.8723 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8721907
1740133743.8832 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8830886
1740133743.8929 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.8927622
1740133743.9028 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9027095
1740133743.9140 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.91379
1740133743.9229 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9227457
1740133743.9327 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9326377
1740133743.9424 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9423778
1740133743.9521 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9520717
1740133743.9622 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9620733
1740133743.9729 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9728873
1740133743.9831 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.982985
1740133743.9926 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133743.9925294
1740133744.0022 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0021915
1740133744.0124 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0122266
1740133744.0223 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0221913
1740133744.0332 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0330775
1740133744.0429 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.04282
1740133744.0526 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0525634
1740133744.0627 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.062498
1740133744.0724 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0722697
1740133744.0832 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0830915
1740133744.0933 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.0931838
1740133744.1031 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.1029518
1740133744.1139 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.1136742
1740133744.1229 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1740133744.1227918
