% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_in
% system=robobot/ (top level ID)
% function=drive/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1740133742.7732 0 drive robobot/cmd/ti/log 1
1740133743.0677 0 drive robobot/cmd/T0/enc0  
1740133743.0679 0 drive robobot/cmd/T0/confw 0.075 0.075 19 68 0.23
1740133743.0681 0 drive robobot/cmd/T0/encrev 1
1740133743.0682 0 drive robobot/cmd/T0/confi  
1740133743.3596 0 drive robobot/cmd/T0/lip 1
1740133743.3800 0 drive robobot/cmd/T0/liwi  
1740133744.0332 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.0330775
1740133744.0429 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.04282
1740133744.0526 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.0525634
1740133744.0627 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.062498
1740133744.0724 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.0722697
1740133744.0832 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.0830915
1740133744.0933 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.0931838
1740133744.1031 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1029518
1740133744.1139 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1136742
1740133744.1229 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1227918
1740133744.1324 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.13233
1740133744.1433 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1432118
1740133744.1532 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.153063
1740133744.1627 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1626618
1740133744.1727 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1725967
1740133744.1824 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1823597
1740133744.1931 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.1930702
1740133744.2034 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2031252
1740133744.2130 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2128997
1740133744.2227 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2226102
1740133744.2261 0 drive robobot/cmd/ti/alive 2025-02-21 11:29:02.769003
1740133744.2326 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2324886
1740133744.2433 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.243218
1740133744.2533 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.253191
1740133744.2630 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2629068
1740133744.2727 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2726395
1740133744.2837 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2835257
1740133744.2934 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.2933226
1740133744.3031 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3030002
